Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A58,11245054779977845,12/1/20,20024596,L,8,A58,40.7,39.45,6.11,25.84,7.5,7.5,,,
A59,11221513789698622,12/1/20,20003127,Q,1,A59,49.99,39.67,7.5,24.5,8.98,7.67,,,
A60,11414663050330632,12/1/20,20003128,Q,1,A60,98.94,69.32,14.84,46.54,8.98,7.94,,,
A61,11339880007683409,12/1/20,20024593,L,3,A61,26.13,23.44,3.92,13.77,5.75,5.75,,,
A62,11335117920210665,12/1/20,20024594,L,6,A62,34.09,26.77,5.11,11.67,9.99,9.99,,,
A63,11488531502866601,12/1/20,20024572,I,1,A63,17.82,17.97,2.67,8.99,4.52,4.31,,,
A64,11395726833792223,12/1/20,20024573,D,1,A64,14.4,64.56,2.16,3.88,58.52,58.52,,,
A65,11120328742924259,12/1/20,20003128,O,1,A65,11.57,14.35,0.93,4.44,8.98,8.98,,,
A66,11244550915817812,12/1/20,20003128,Q,1,A66,98.94,67.75,14.84,46.54,8.98,6.37,,,
A67,11252029402237030,12/1/20,20024595,L,12,A67,90,85.59,13.5,63.34,8.75,8.75,,,
A68,11195402652384228,12/1/20,20003128,Q,1,A68,98.94,69.59,14.84,46.54,8.98,8.21,,,
A69,11397484395751450,12/1/20,20003128,Q,2,A69,197.88,132.27,29.68,93.08,9.93,9.51,,,
A70,11491482662378647,12/1/20,20003129,Q,1,A70,65.52,24.85,9.83,4.86,9.93,10.16,,,
A71,11416383164253050,12/1/20,20024598,L,6,A71,33.19,32.34,4.98,20.37,6.99,6.99,,,
A72,11259035596437867,12/1/20,20024597,L,3,A72,22.6,22.66,3.39,14.52,4.75,4.75,,,
A73,11179367907057865,12/1/20,20003124,P,1,A73,12.74,12.01,1.91,1.12,8.98,8.98,,,
A74,11243790996988267,12/1/20,20024601,L,6,A74,45,45.92,6.75,31.67,7.5,7.5,,,
A75,11225153435478643,12/1/20,20024599,C,1,A75,38.46,39.23,5.77,21.02,12.44,12.44,,,
A76,11291225878794665,12/1/20,20003130,Q,1,A76,98.94,68.21,14.84,46.54,8.98,6.83,,,
A77,11325726731969826,12/1/20,20024602,L,1,A77,20.98,19.85,3.15,11.95,4.75,4.75,,,
A78,11232515486982619,12/1/20,20003129,Q,1,A78,23.31,15.87,3.5,6,7.77,6.37,,,
A79,11249738958632229,12/1/20,20024600,L,8,A79,31.96,30.6,4.79,18.31,7.5,7.5,,,
A80,11193545861018640,12/1/20,20024603,L,12,A80,65.49,66.02,9.82,46.21,9.99,9.99,,,
A81,11398616521841001,12/1/20,20003130,Q,1,A81,61,45.2,9.15,27.07,8.98,8.98,,,
A82,11199277160009051,12/1/20,20024607,J,1,A82,416.29,409.3,24.98,372.27,12.05,12.05,,,
