Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A58,11326269244080202,11/29/20,20023508,L,12,A58,24.85,24.15,3.73,13.43,6.99,6.99,,,
A59,11255719219415409,11/7/20,20015776,L,6,A59,16.31,21.62,2.45,12.18,6.99,6.99,,,
A60,11426929640657018,11/30/20,20003106,Q,2,A60,17.21,18.03,2.58,9.08,8.81,6.37,,,
A61,11269057642665834,11/30/20,20023921,L,12,A61,24.85,24.15,3.73,13.43,6.99,6.99,,,
A62,11488312797253067,11/30/20,20024282,L,1,A62,59.82,59.6,8.97,45.88,4.75,4.75,,,
A63,11188049576641807,11/9/20,20016647,L,1,A63,12.41,10.69,1.86,4.08,4.75,4.75,,,
A64,11162621380998653,11/23/20,20020814,L,3,A64,27.67,26.44,4.15,15.3,6.99,6.99,,,
A65,11262244627645810,11/28/20,20023000,L,2,A65,19.61,18.89,2.94,10.2,5.75,5.75,,,
A66,11326111031020224,11/29/20,20023624,L,3,A66,25.91,26.18,3.89,15.3,6.99,6.99,,,
A67,11418800811505067,11/29/20,20023474,L,2,A67,19.61,18.89,2.94,10.2,5.75,5.75,,,
A68,11153269296458649,11/15/20,20017743,L,1,A68,12.86,12.8,1.93,6.12,4.75,4.75,,,
A69,11194335765034648,11/23/20,20002555,O,2,A69,43.8,34.68,6.58,19.12,8.98,8.98,,,
A70,11442072878791417,11/29/20,20023557,L,12,A70,24.85,24.15,3.73,13.43,6.99,6.99,,,
A71,11336392990418669,11/15/20,20017853,L,12,A71,41.36,41.73,6.2,27.54,7.99,7.99,,,
A72,11218058890326603,11/30/20,20003119,N,7,A72,41.32,16.63,6.2,10.43,0,0,,,
A73,11299466273620228,11/14/20,20017501,L,12,A73,41.36,41.73,6.2,27.54,7.99,7.99,,,
A74,11172406041275429,11/7/20,20015703,L,6,A74,16.31,21.62,2.45,12.18,6.99,6.99,,,
A75,11393529325469003,11/30/20,20003119,Q,1,A75,58.23,47.61,8.73,27.07,10.3,11.81,,,
A76,11452190784781836,11/29/20,20023526,L,2,A76,19.61,18.89,2.94,10.2,5.75,5.75,,,
A77,11205342311434665,11/30/20,20003116,O,1,A77,13.6,17.17,2.04,6.15,8.98,8.98,,,
A78,11176814906529841,11/21/20,20020199,L,12,A78,22.15,22.48,3.32,12.17,6.99,6.99,,,
A79,11323895015791441,11/28/20,20023282,L,12,A79,24.85,24.15,3.73,13.43,6.99,6.99,,,
A80,11414553328496228,11/26/20,20022050,L,12,A80,22.15,22.48,3.32,12.17,6.99,6.99,,,
A81,11485226485050636,11/28/20,20023277,L,12,A81,62.13,60.9,9.32,37.08,14.5,14.5,,,
A82,11405360050777024,11/21/20,20020160,L,24,A82,26.06,25.69,3.91,14.28,7.5,7.5,,,
A83,11406383613326659,11/10/20,20016871,L,1,A83,12.86,12.8,1.93,6.12,4.75,4.75,,,
A84,11172689829853830,11/22/20,20020310,L,1,A84,58.68,59.43,8.8,45.88,4.75,4.75,,,
